gene_id,SRR10720198,SRR10720199,SRR10720203,SRR10720205
gene-YBL030C,1263,1239,1068,1336
gene-YBL031W,893,849,801,781
gene-YBL032W,1723,1748,1751,1517
gene-YBL033C,5338,4873,6228,6575
gene-YBL034C,1601,1520,2015,1588
gene-YBL035C,830,842,1113,1025
gene-YBL036C,3318,2405,3353,3324
gene-YBL037W,1521,1487,1740,1589
gene-YBL038W,898,810,841,837
gene-YBL039C,1610,1540,1270,1167
gene-YBL039W-B,55,45,57,49
gene-YBL040C,797,764,881,848
gene-YBL041W,1574,1630,1666,1664
gene-YBL042C,412,407,318,275
gene-YBL043W,46,40,28,15
gene-YBL044W,3,5,3,2
gene-YBL045C,1715,1764,1535,1259
gene-YBL046W,2384,2324,2424,2249
gene-YBL047C,9396,9740,11342,9374
gene-YBL048W,1,1,0,0
gene-YBL049W,3,3,5,5
gene-YBL050W,1142,1036,1236,1213
gene-YBL051C,11232,11380,11910,9564
gene-YBL052C,1722,1765,1838,1737
gene-YBL054W,1091,1022,883,723
gene-YBL055C,378,359,310,294
gene-YBL056W,1937,2043,2070,1731
gene-YBL057C,616,552,538,576
gene-YBL058W,2456,2459,2922,2582
gene-YBL059C-A,243,207,253,251
gene-YBL059W,526,497,488,536
gene-YBL060W,716,640,871,721
gene-YBL061C,3105,3063,3678,3272
gene-YBL063W,1232,1095,1367,1241
gene-YBL064C,307,330,549,529
gene-YBL066C,2376,2451,2645,2164
gene-YBL067C,871,819,873,818
gene-YBL068W,514,405,414,412
gene-YBL069W,539,486,477,359
gene-YBL071C,2,2,6,5
gene-YBL071C-B,2,8,6,6
gene-YBL071W-A,228,227,212,203
gene-YBL072C,1448,1503,1479,1534
gene-YBL074C,491,453,494,400
gene-YBL075C,753,777,866,724
gene-YBL076C,3215,3243,3600,3284
gene-YBL078C,824,836,1105,1165
gene-YBL079W,6305,6643,7212,5915
gene-YBL080C,735,726,747,688
gene-YBL081W,6272,6357,6288,4495
gene-YBL082C,151,171,171,123
gene-YBL084C,1059,1031,1083,897
gene-YBL085W,5614,5413,6216,5382
gene-YBL086C,2176,2279,1678,1751
gene-YBL087C,270,226,249,305
gene-YBL088C,1302,1287,1401,1208
gene-YBL089W,264,267,263,237
gene-YBL090W,808,639,775,685
gene-YBL091C,1955,1776,1902,1812
gene-YBL091C-A,97,107,84,99
gene-YBL092W,1698,1459,1593,1631
gene-YBL093C,1220,1203,1151,1100
gene-YBL095W,425,415,436,417
gene-YBL097W,3749,3486,3885,3558
gene-YBL098W,86,63,77,73
gene-YBL099W,924,928,971,788
gene-YBL100W-A,0,0,0,0
gene-YBL100W-B,319,341,330,259
gene-YBL100W-C,2,2,0,0
gene-YBL101C,2524,2504,3054,2511
gene-YBL102W,505,458,517,492
gene-YBL103C,2283,2095,2346,2054
gene-YBL104C,1304,1202,1190,1168
gene-YBL105C,6370,6657,7318,6351
gene-YBL106C,1306,1390,850,714
gene-YBL107C,875,624,836,828
gene-YBL108C-A,0,0,0,1
gene-YBL111C,6,2,11,13
gene-YBL112C,1,0,0,0
gene-YBL113C,47,48,53,92
gene-YBR001C,1848,1775,2121,1879
gene-YBR002C,2575,2516,2550,2518
gene-YBR003W,799,758,817,658
gene-YBR004C,152,119,170,160
gene-YBR005W,238,196,218,232
gene-YBR006W,458,431,428,367
gene-YBR007C,2020,1901,2182,1870
gene-YBR008C,5268,5600,13064,12566
gene-YBR009C,4269,4055,3847,4189
gene-YBR010W,3402,2872,2966,2865
gene-YBR011C,3675,3308,4253,3697
gene-YBR012W-A,0,0,0,0
